instructor_1,instructor_2
"Ava Hoffman, PhD","Elizabeth Humphries, PhD"
"Candace Savonen, MS","Carrie Wright, PhD"
"Candace Savonen, MS","Elizabeth Humphries, PhD"
"Carrie Wright, PhD","Elizabeth Humphries, PhD"
Andrew Ng,Yutaka Matsuo
Amirhossein Kiani,Bora Uyumazturk
Amirhossein Kiani,Eddy Shyu
Amirhossein Kiani,Pranav Rajpurkar
Bora Uyumazturk,Eddy Shyu
Bora Uyumazturk,Pranav Rajpurkar
Eddy Shyu,Pranav Rajpurkar
Bora Uyumazturk,Eddy Shyu
Bora Uyumazturk,Pranav Rajpurkar
Eddy Shyu,Pranav Rajpurkar
Amirhossein Kiani,Bora Uyumazturk
Amirhossein Kiani,Eddy Shyu
Amirhossein Kiani,Pranav Rajpurkar
Bora Uyumazturk,Eddy Shyu
Bora Uyumazturk,Pranav Rajpurkar
Eddy Shyu,Pranav Rajpurkar
Alex G.,Oksana Hoeckele
Alex G.,Rafael Lopes
Oksana Hoeckele,Rafael Lopes
Laurence Baker,Matthew Lungren
Laurence Baker,Nigam Shah
Laurence Baker,Serena Yeung
Laurence Baker,Tina Hernandez-Boussard
Matthew Lungren,Nigam Shah
Matthew Lungren,Serena Yeung
Matthew Lungren,Tina Hernandez-Boussard
Nigam Shah,Serena Yeung
Nigam Shah,Tina Hernandez-Boussard
Serena Yeung,Tina Hernandez-Boussard
Mustafa Bayulgen,Starweaver
Ana Nordberg,Jeffery Atik
Ana Nordberg,Julian Nowag
Ana Nordberg,Lena Wahlberg
Ana Nordberg,Niklas Selberg
Ana Nordberg,Titti Mattsson
Ana Nordberg,Ulrika Andersson
Ana Nordberg,Valentin Jeutner
Ana Nordberg,Vilhelm Persson
Jeffery Atik,Julian Nowag
Jeffery Atik,Lena Wahlberg
Jeffery Atik,Niklas Selberg
Jeffery Atik,Titti Mattsson
Jeffery Atik,Ulrika Andersson
Jeffery Atik,Valentin Jeutner
Jeffery Atik,Vilhelm Persson
Julian Nowag,Lena Wahlberg
Julian Nowag,Niklas Selberg
Julian Nowag,Titti Mattsson
Julian Nowag,Ulrika Andersson
Julian Nowag,Valentin Jeutner
Julian Nowag,Vilhelm Persson
Lena Wahlberg,Niklas Selberg
Lena Wahlberg,Titti Mattsson
Lena Wahlberg,Ulrika Andersson
Lena Wahlberg,Valentin Jeutner
Lena Wahlberg,Vilhelm Persson
Niklas Selberg,Titti Mattsson
Niklas Selberg,Ulrika Andersson
Niklas Selberg,Valentin Jeutner
Niklas Selberg,Vilhelm Persson
Titti Mattsson,Ulrika Andersson
Titti Mattsson,Valentin Jeutner
Titti Mattsson,Vilhelm Persson
Ulrika Andersson,Valentin Jeutner
Ulrika Andersson,Vilhelm Persson
Valentin Jeutner,Vilhelm Persson
Anna Karina Cruz LÃ³pez,Guillermo del JesÃºs Valdez Ramayo
Anna Karina Cruz LÃ³pez,Karim Fernando Pedro Fernandez
Guillermo del JesÃºs Valdez Ramayo,Karim Fernando Pedro Fernandez
Morgan Willis,Rafael Lopes
Morgan Willis,Russell Sayers
Rafael Lopes,Russell Sayers
Peter MÃ¸ller,Steffen Loft
Peter MÃ¸ller,Zorana Jovanovic Andersen
Steffen Loft,Zorana Jovanovic Andersen
Sara Santesson,Susanne Pelger
Claudia Wanderley,Nima Spigolon
Alejandra Stein,Celia Rosemberg
Alejandra Stein,Maia Julieta Migdalek
Celia Rosemberg,Maia Julieta Migdalek
Dr. Stephen Mayfield,"Ira ""Ike"" Levine"
Dr. Stephen Mayfield,"Ira ""Ike"" Levine"
Carlos HernÃ¡ndez,Elena de Oteyza
Carlos HernÃ¡ndez,Emma Lam
Elena de Oteyza,Emma Lam
Emma Pierson,Kowe Kadoma
Alexander S. Kulikov,Daniel M Kane
Alexander S. Kulikov,Michael Levin
Alexander S. Kulikov,Neil Rhodes
Alexander S. Kulikov,Pavel  Pevzner
Daniel M Kane,Michael Levin
Daniel M Kane,Neil Rhodes
Daniel M Kane,Pavel  Pevzner
Michael Levin,Neil Rhodes
Michael Levin,Pavel  Pevzner
Neil Rhodes,Pavel  Pevzner
Alexander S. Kulikov,Daniel M Kane
Alexander S. Kulikov,Michael Levin
Alexander S. Kulikov,Neil Rhodes
Daniel M Kane,Michael Levin
Daniel M Kane,Neil Rhodes
Michael Levin,Neil Rhodes
Jaume Llopis,Joan Enric Ricart
Anna Nikolaeva,George Liu
Anna Nikolaeva,Marco te BrÃ¶mmelstroet
George Liu,Marco te BrÃ¶mmelstroet
Alex G.,Morgan Willis
Alex G.,Russell Sayers
Morgan Willis,Russell Sayers
"Maura McGuire, MD, CPC, FACP",Michelle J. Campbell
Dr. Anne S. Chao,Dr. Jeffrey Fleisher
Dr. Anne S. Chao,Dr. Julie Fette
Dr. Anne S. Chao,Dr. Lida Oukaderova
Dr. Anne S. Chao,Dr. Moramay LÃ³pez-Alonso
Dr. Jeffrey Fleisher,Dr. Julie Fette
Dr. Jeffrey Fleisher,Dr. Lida Oukaderova
Dr. Jeffrey Fleisher,Dr. Moramay LÃ³pez-Alonso
Dr. Julie Fette,Dr. Lida Oukaderova
Dr. Julie Fette,Dr. Moramay LÃ³pez-Alonso
Dr. Lida Oukaderova,Dr. Moramay LÃ³pez-Alonso
Emily Wong,Helen Nam
Emily Wong,Marla Yoshida
Emily Wong,Meg Parker
Helen Nam,Marla Yoshida
Helen Nam,Meg Parker
Marla Yoshida,Meg Parker
Emily Wong,Helen Nam
Emily Wong,Marla Yoshida
Emily Wong,Meg Parker
Helen Nam,Marla Yoshida
Helen Nam,Meg Parker
Marla Yoshida,Meg Parker
Emily Wong,Helen Nam
Emily Wong,Marla Yoshida
Emily Wong,Meg Parker
Helen Nam,Marla Yoshida
Helen Nam,Meg Parker
Marla Yoshida,Meg Parker
Anita Allen,Shyam Balganesh
Anita Allen,Stephen Morse
Anita Allen,Tess Wilkinson-Ryan
Anita Allen,Theodore Ruger
Anita Allen,Tobias Barrington Wolff
Shyam Balganesh,Stephen Morse
Shyam Balganesh,Tess Wilkinson-Ryan
Shyam Balganesh,Theodore Ruger
Shyam Balganesh,Tobias Barrington Wolff
Stephen Morse,Tess Wilkinson-Ryan
Stephen Morse,Theodore Ruger
Stephen Morse,Tobias Barrington Wolff
Tess Wilkinson-Ryan,Theodore Ruger
Tess Wilkinson-Ryan,Tobias Barrington Wolff
Theodore Ruger,Tobias Barrington Wolff
Click Start,Dr Rafael Papallas
Guillermo AtarÃ©s,JosÃ© MarÃ­a Corrales
Claudia Useche,Sergio Lacambra
Felipe Delgado,Juan de Dios Ortuzar
Felipe Delgado,Ricardo Giesen
Juan de Dios Ortuzar,Ricardo Giesen
Gustavo AndrÃ©s Ramos LÃ³pez,Mario Alberto RÃ­os MesÃ­as
Gustavo AndrÃ©s Ramos LÃ³pez,Paulo Manuel De Oliveira De JesÃºs
Mario Alberto RÃ­os MesÃ­as,Paulo Manuel De Oliveira De JesÃºs
Edgardo Jorge Escalante VÃ¡zquez,Mohammad Reza Azarang Esfandiari
Felipe Montes JimÃ©nez,SÃ¡nchez Sarmiento GermÃ¡n AndrÃ©s
Daniel Egger,Jana Schaich Borg
Daniel Egger,Jana Schaich Borg
Daniel Egger,Jana Schaich Borg
Daniel Egger,Jana Schaich Borg
Charles Duncan,Shanta Kapadia
Charles Duncan,William B. Stewart
Shanta Kapadia,William B. Stewart
Charles Duncan,Shanta Kapadia
Charles Duncan,William B. Stewart
Shanta Kapadia,William B. Stewart
Glenn M. Fox,Kathleen Alsup
Glenn M. Fox,Kelli Sullivan
Kathleen Alsup,Kelli Sullivan
Halle P. Street,Michael Caldwell
Dr. Virginie Galtier,Michel Ianotto
Dr Fritha Langford,Dr Heather Bacon
Dr Fritha Langford,Dr Jill MacKay
Dr Fritha Langford,Hayley  Walters
Dr Fritha Langford,Professor Nat Waran
Dr Heather Bacon,Dr Jill MacKay
Dr Heather Bacon,Hayley  Walters
Dr Heather Bacon,Professor Nat Waran
Dr Jill MacKay,Hayley  Walters
Dr Jill MacKay,Professor Nat Waran
Hayley  Walters,Professor Nat Waran
Cathy Dwyer,Hayley  Walters
Elizabeth Robilotti,Emily Mui
Elizabeth Robilotti,"Lina Meng, PharmD, BCPS, BCCCP"
Elizabeth Robilotti,Marisa Holubar
Elizabeth Robilotti,"Stan Deresinski, MD"
Emily Mui,"Lina Meng, PharmD, BCPS, BCCCP"
Emily Mui,Marisa Holubar
Emily Mui,"Stan Deresinski, MD"
"Lina Meng, PharmD, BCPS, BCCCP",Marisa Holubar
"Lina Meng, PharmD, BCPS, BCCCP","Stan Deresinski, MD"
Marisa Holubar,"Stan Deresinski, MD"
AnahÃ­ Cristina Dreser Mansilla,MarÃ­a Guadalupe Miranda Novales
AnahÃ­ Cristina Dreser Mansilla,MarÃ­a YazmÃ­n HernÃ¡ndez Arellano
AnahÃ­ Cristina Dreser Mansilla,Patricia Aguilera JimÃ©nez
AnahÃ­ Cristina Dreser Mansilla,Samuel Ponce de LeÃ³n R.
MarÃ­a Guadalupe Miranda Novales,MarÃ­a YazmÃ­n HernÃ¡ndez Arellano
MarÃ­a Guadalupe Miranda Novales,Patricia Aguilera JimÃ©nez
MarÃ­a Guadalupe Miranda Novales,Samuel Ponce de LeÃ³n R.
MarÃ­a YazmÃ­n HernÃ¡ndez Arellano,Patricia Aguilera JimÃ©nez
MarÃ­a YazmÃ­n HernÃ¡ndez Arellano,Samuel Ponce de LeÃ³n R.
Patricia Aguilera JimÃ©nez,Samuel Ponce de LeÃ³n R.
Carlos Arturo Alvarez Moreno,Jorge Alberto CortÃ©s Luna
Carlos Arturo Alvarez Moreno,Martha Carolina Valderrama Rios
Jorge Alberto CortÃ©s Luna,Martha Carolina Valderrama Rios
FÃ©lix Lugo,Lola Ojeda
FÃ©lix Lugo,Montserrat Manubens
FÃ©lix Lugo,Rosa Porqueras
FÃ©lix Lugo,Santiago Dexeus
Lola Ojeda,Montserrat Manubens
Lola Ojeda,Rosa Porqueras
Lola Ojeda,Santiago Dexeus
Montserrat Manubens,Rosa Porqueras
Montserrat Manubens,Santiago Dexeus
Rosa Porqueras,Santiago Dexeus
Jennifer,Shawn
Jennifer,Shawn
Jennifer,Shawn
Dmitry Kolotilenko,Dr. Yossi Kugler
Dafna Dolinko,Dmitry Kolotilenko
Dafna Dolinko,Dr. Yossi Kugler
Dmitry Kolotilenko,Dr. Yossi Kugler
Dafna Dolinko,Dmitry Kolotilenko
Dafna Dolinko,Dr. Yossi Kugler
Dmitry Kolotilenko,Dr. Yossi Kugler
Dr. Paige K. Evans,Mariam Manuel
Cristian Manuel BaÃ±uelos Hinojosa,Mauro Herrera Machuca
Diana Lopez Tavares,Rebecca Vieyra
Siemens,Siemens Digital Industries Software
Joseph Santarcangelo,Yan Luo
Eda Zhou,Eric Zelikman
Eda Zhou,Sharon Zhou
Eric Zelikman,Sharon Zhou
Jose Luis Rodriguez,Sung Won Kim
Kasie Pardi,Paul Pardi
Sara Woods,Sean Vereen
Sara Woods,Whitney Soule
Sean Vereen,Whitney Soule
Dr. Barbara Oakley,Dr. Terrence Sejnowski
Dr. Barbara Oakley,Nicole Marie-ThÃ©rÃ¨se Charest
Dr. Terrence Sejnowski,Nicole Marie-ThÃ©rÃ¨se Charest
Dr. Barbara Oakley,Dr. Terrence Sejnowski
Dr. Barbara Oakley,Thiago Cesar Lousada Marsola
Dr. Terrence Sejnowski,Thiago Cesar Lousada Marsola
Dr. Barbara Oakley,Dr. Terrence Sejnowski
Dr. Barbara Oakley,MatÃ­as Rojas
Dr. Terrence Sejnowski,MatÃ­as Rojas
"Antonio Gil-Nagel Rein M.D., Ph.D.",Dr. Barbara Oakley
"Antonio Gil-Nagel Rein M.D., Ph.D.",Teresa Martin-Retortillo Rubio
Dr. Barbara Oakley,Teresa Martin-Retortillo Rubio
Dr. Barbara Oakley,JosÃ© Fernando Gallego Nicholls
Dr. Barbara Oakley,MarÃ­a Guijarro GarcÃ­a
JosÃ© Fernando Gallego Nicholls,MarÃ­a Guijarro GarcÃ­a
Cristian Ruz,Jorge MuÃ±oz Gama
Cristian Ruz,Mar PÃ©rez-SanagustÃ­n
Cristian Ruz,Valeria Herskovic
Jorge MuÃ±oz Gama,Mar PÃ©rez-SanagustÃ­n
Jorge MuÃ±oz Gama,Valeria Herskovic
Mar PÃ©rez-SanagustÃ­n,Valeria Herskovic
Lorena Yadira AlemÃ¡n de la Garza,Marcela Georgina Gomez ZermeÃ±o
Lorena Yadira AlemÃ¡n de la Garza,MarÃ­a Soledad RamÃ­rez Montoya
Marcela Georgina Gomez ZermeÃ±o,MarÃ­a Soledad RamÃ­rez Montoya
